id,name_ar,name_en,price_omr,discount_price_omr,status,images,short_desc_ar,short_desc_en,long_desc_ar,long_desc_en,platform,active,options
online1,Arc Raiders,Arc Raiders,15,3.5,sale,https://cdn.cloudflare.steamstatic.com/steam/apps/1808500/library_600x900.jpg,,,"

## 🎮 ARC RAIDERS (PC) – تفعيل عبر Microsoft Store

خدمة تفعيل لعبة ARC RAIDERS على الكمبيوتر عبر Microsoft Store.
❗ هذا المنتج ليس مفتاح (Key)، وإنما تفعيل لتلعب على حسابك الشخصي مع حفظ التقدم والإنجازات.

### ✅ المميزات:

* اللعب على حسابك الشخصي
* أونلاين + دعم Cross-Play
* تحديثات تلقائية
* تسليم فوري

### 📌 طريقة التفعيل:

1️⃣ تفتح تطبيق **Microsoft Store** وتسجل دخول بالحساب اللي فيه اللعبة
2️⃣ بعدها تدخل تطبيق **Xbox** وتسجل دخول بحسابك الشخصي
3️⃣ تحمل اللعبة من تطبيق Microsoft Store
4️⃣ تشغل اللعبة وتلعب بحسابك من تطبيق Xbox

⚠️ جميع التقدم والإنجازات تنحفظ على حسابك الشخصي بشكل دائم.",,PC \ Steam,1,منصة مايكروسوفت:3.5
offline1,Death Stranding 2: On The Beach,Death Stranding 2: On The Beach,24,2.5,sale,https://cdn.cloudflare.steamstatic.com/steam/apps/5442930/library_600x900.jpg,ارخص العاب الاوفلاين يوفرها لكم متجر ديف,,"✅ مميزات الخدمة 
✔️ بعد الدفع تحصل على حساب Steam مخصص للّعب في وضع الأوفلاين، ويتم حفظ تقدمك على جهازك فقط. 
✔️ يمكنك تحديث اللعبة في أي وقت. 
⌛️ لا يوجد حد لوقت اللعب — العب وقت ما تريد وبالمدة التي تناسبك. 
--- 
🎮 طريقة التفعيل (مختصرة جداً) 
1. سجّل الدخول إلى حساب Steam الذي يصلك بعد الشراء. 
2. من إعدادات Steam ادخل إلى **Settings → Cloud** وقم بإيقاف أول خيار. 
3. نزّل اللعبة من المكتبة. 
4. شغّل اللعبة مرة واحدة أونلاين حتى تظهر القائمة الرئيسية، ثم أغلقها. 
5. لتحويل Steam إلى وضع الأوفلاين: من أعلى اليسار اضغط **Steam → Go Offline**. 
6. ❗ دايمًا العب بوضع الأوفلاين — يُمنع اللعب أونلاين إلا عند التفعيل فقط. 
7. استمتع باللعب بلا حدود. 
--- 
📌 معلومات إضافية مهمة 
☑️ تبديل الحسابات يتم بدون أكواد، ويمكنك الرجوع للحساب في أي وقت. 
☑️ دعم فني لمدة **3 أشهر**. 
☑️ التفعيل لا يحتاج أي برامج طرف ثالث. 
☑️ قد يتم فقدان التفعيل بعد تحديث ويندوز أو تغيير القطع؛ يُفضّل إيقاف التحديثات أثناء اللعب. 
☑️ يمكنك تحديث اللعبة متى ما احتجت. 
☑️ يجب اتباع التعليمات بدقة لتجنّب أي مشكلة. 
❗ يمنع تغيير معلومات الحساب. 
--- 
💬 واجهتك أي مشكلة؟ 
تواصل معنا وسنساعدك فوراً. ",,PC \ Steam,1,منصة ستيم:2.5
,Crimson Desert,Crimson Desert,24,4,sale,https://cdn.cloudflare.steamstatic.com/steam/apps/3321460/library_600x900.jpg,ارخص العاب الاوفلاين يوفرها لكم متجر ديف,,"✅ مميزات الخدمة 
✔️ بعد الدفع تحصل على حساب Steam مخصص للّعب في وضع الأوفلاين، ويتم حفظ تقدمك على جهازك فقط. 
✔️ يمكنك تحديث اللعبة في أي وقت. 
⌛️ لا يوجد حد لوقت اللعب — العب وقت ما تريد وبالمدة التي تناسبك. 
--- 
🎮 طريقة التفعيل (مختصرة جداً) 
1. سجّل الدخول إلى حساب Steam الذي يصلك بعد الشراء. 
2. من إعدادات Steam ادخل إلى **Settings → Cloud** وقم بإيقاف أول خيار. 
3. نزّل اللعبة من المكتبة. 
4. شغّل اللعبة مرة واحدة أونلاين حتى تظهر القائمة الرئيسية، ثم أغلقها. 
5. لتحويل Steam إلى وضع الأوفلاين: من أعلى اليسار اضغط **Steam → Go Offline**. 
6. ❗ دايمًا العب بوضع الأوفلاين — يُمنع اللعب أونلاين إلا عند التفعيل فقط. 
7. استمتع باللعب بلا حدود. 
--- 
📌 معلومات إضافية مهمة 
☑️ تبديل الحسابات يتم بدون أكواد، ويمكنك الرجوع للحساب في أي وقت. 
☑️ دعم فني لمدة **3 أشهر**. 
☑️ التفعيل لا يحتاج أي برامج طرف ثالث. 
☑️ قد يتم فقدان التفعيل بعد تحديث ويندوز أو تغيير القطع؛ يُفضّل إيقاف التحديثات أثناء اللعب. 
☑️ يمكنك تحديث اللعبة متى ما احتجت. 
☑️ يجب اتباع التعليمات بدقة لتجنّب أي مشكلة. 
❗ يمنع تغيير معلومات الحساب. 
--- 
💬 واجهتك أي مشكلة؟ 
تواصل معنا وسنساعدك فوراً. ",,PC \ Steam,1,منصة ستيم:2.5
offline1,Resident Evil Requiem,Resident Evil Requiem,24,4,sale,https://shared.steamstatic.com/store_item_assets/steam/apps/3764200/bde37e52add84267aeaf70c9f32d72381684d928/library_600x900_2x.jpg?t=1753863759,ارخص العاب الاوفلاين يوفرها لكم متجر ديف,,"✅ مميزات الخدمة 
✔️ بعد الدفع تحصل على حساب Steam مخصص للّعب في وضع الأوفلاين، ويتم حفظ تقدمك على جهازك فقط. 
✔️ يمكنك تحديث اللعبة في أي وقت. 
⌛️ لا يوجد حد لوقت اللعب — العب وقت ما تريد وبالمدة التي تناسبك. 
--- 
🎮 طريقة التفعيل (مختصرة جداً) 
1. سجّل الدخول إلى حساب Steam الذي يصلك بعد الشراء. 
2. من إعدادات Steam ادخل إلى **Settings → Cloud** وقم بإيقاف أول خيار. 
3. نزّل اللعبة من المكتبة. 
4. شغّل اللعبة مرة واحدة أونلاين حتى تظهر القائمة الرئيسية، ثم أغلقها. 
5. لتحويل Steam إلى وضع الأوفلاين: من أعلى اليسار اضغط **Steam → Go Offline**. 
6. ❗ دايمًا العب بوضع الأوفلاين — يُمنع اللعب أونلاين إلا عند التفعيل فقط. 
7. استمتع باللعب بلا حدود. 
--- 
📌 معلومات إضافية مهمة 
☑️ تبديل الحسابات يتم بدون أكواد، ويمكنك الرجوع للحساب في أي وقت. 
☑️ دعم فني لمدة **3 أشهر**. 
☑️ التفعيل لا يحتاج أي برامج طرف ثالث. 
☑️ قد يتم فقدان التفعيل بعد تحديث ويندوز أو تغيير القطع؛ يُفضّل إيقاف التحديثات أثناء اللعب. 
☑️ يمكنك تحديث اللعبة متى ما احتجت. 
☑️ يجب اتباع التعليمات بدقة لتجنّب أي مشكلة. 
❗ يمنع تغيير معلومات الحساب. 
--- 
💬 واجهتك أي مشكلة؟ 
تواصل معنا وسنساعدك فوراً. ",,PC \ Steam,1,منصة ستيم:2.5
offline2,Black Myth: Wukong,Black Myth: Wukong,24,2.5,sale,https://cdn.cdkeys.com/496x700/media/catalog/product/b/l/black-myth-wukong-steam_3.jpg,ارخص العاب الاوفلاين يوفرها لكم متجر ديف,,"✅ مميزات الخدمة 
✔️ بعد الدفع تحصل على حساب Steam مخصص للّعب في وضع الأوفلاين، ويتم حفظ تقدمك على جهازك فقط. 
✔️ يمكنك تحديث اللعبة في أي وقت. 
⌛️ لا يوجد حد لوقت اللعب — العب وقت ما تريد وبالمدة التي تناسبك. 
--- 
🎮 طريقة التفعيل (مختصرة جداً) 
1. سجّل الدخول إلى حساب Steam الذي يصلك بعد الشراء. 
2. من إعدادات Steam ادخل إلى **Settings → Cloud** وقم بإيقاف أول خيار. 
3. نزّل اللعبة من المكتبة. 
4. شغّل اللعبة مرة واحدة أونلاين حتى تظهر القائمة الرئيسية، ثم أغلقها. 
5. لتحويل Steam إلى وضع الأوفلاين: من أعلى اليسار اضغط **Steam → Go Offline**. 
6. ❗ دايمًا العب بوضع الأوفلاين — يُمنع اللعب أونلاين إلا عند التفعيل فقط. 
7. استمتع باللعب بلا حدود. 
--- 
📌 معلومات إضافية مهمة 
☑️ تبديل الحسابات يتم بدون أكواد، ويمكنك الرجوع للحساب في أي وقت. 
☑️ دعم فني لمدة **3 أشهر**. 
☑️ التفعيل لا يحتاج أي برامج طرف ثالث. 
☑️ قد يتم فقدان التفعيل بعد تحديث ويندوز أو تغيير القطع؛ يُفضّل إيقاف التحديثات أثناء اللعب. 
☑️ يمكنك تحديث اللعبة متى ما احتجت. 
☑️ يجب اتباع التعليمات بدقة لتجنّب أي مشكلة. 
❗ يمنع تغيير معلومات الحساب. 
--- 
💬 واجهتك أي مشكلة؟ 
تواصل معنا وسنساعدك فوراً. ",,PC \ Steam,1,منصة ستيم:2.5
offline3,Elden Ring,Elden Ring,24,2.5,sale,https://cdn.cloudflare.steamstatic.com/steam/apps/1245620/library_600x900.jpg,ارخص العاب الاوفلاين يوفرها لكم متجر ديف,,"✅ مميزات الخدمة 
✔️ بعد الدفع تحصل على حساب Steam مخصص للّعب في وضع الأوفلاين، ويتم حفظ تقدمك على جهازك فقط. 
✔️ يمكنك تحديث اللعبة في أي وقت. 
⌛️ لا يوجد حد لوقت اللعب — العب وقت ما تريد وبالمدة التي تناسبك. 
--- 
🎮 طريقة التفعيل (مختصرة جداً) 
1. سجّل الدخول إلى حساب Steam الذي يصلك بعد الشراء. 
2. من إعدادات Steam ادخل إلى **Settings → Cloud** وقم بإيقاف أول خيار. 
3. نزّل اللعبة من المكتبة. 
4. شغّل اللعبة مرة واحدة أونلاين حتى تظهر القائمة الرئيسية، ثم أغلقها. 
5. لتحويل Steam إلى وضع الأوفلاين: من أعلى اليسار اضغط **Steam → Go Offline**. 
6. ❗ دايمًا العب بوضع الأوفلاين — يُمنع اللعب أونلاين إلا عند التفعيل فقط. 
7. استمتع باللعب بلا حدود. 
--- 
📌 معلومات إضافية مهمة 
☑️ تبديل الحسابات يتم بدون أكواد، ويمكنك الرجوع للحساب في أي وقت. 
☑️ دعم فني لمدة **3 أشهر**. 
☑️ التفعيل لا يحتاج أي برامج طرف ثالث. 
☑️ قد يتم فقدان التفعيل بعد تحديث ويندوز أو تغيير القطع؛ يُفضّل إيقاف التحديثات أثناء اللعب. 
☑️ يمكنك تحديث اللعبة متى ما احتجت. 
☑️ يجب اتباع التعليمات بدقة لتجنّب أي مشكلة. 
❗ يمنع تغيير معلومات الحساب. 
--- 
💬 واجهتك أي مشكلة؟ 
تواصل معنا وسنساعدك فوراً. ",,PC \ Steam,1,منصة ستيم:2.5
offline4,Hogwarts Legacy,Hogwarts Legacy,24,2.5,sale,https://cdn.cloudflare.steamstatic.com/steam/apps/990080/library_600x900.jpg,ارخص العاب الاوفلاين يوفرها لكم متجر ديف,,"✅ مميزات الخدمة 
✔️ بعد الدفع تحصل على حساب Steam مخصص للّعب في وضع الأوفلاين، ويتم حفظ تقدمك على جهازك فقط. 
✔️ يمكنك تحديث اللعبة في أي وقت. 
⌛️ لا يوجد حد لوقت اللعب — العب وقت ما تريد وبالمدة التي تناسبك. 
--- 
🎮 طريقة التفعيل (مختصرة جداً) 
1. سجّل الدخول إلى حساب Steam الذي يصلك بعد الشراء. 
2. من إعدادات Steam ادخل إلى **Settings → Cloud** وقم بإيقاف أول خيار. 
3. نزّل اللعبة من المكتبة. 
4. شغّل اللعبة مرة واحدة أونلاين حتى تظهر القائمة الرئيسية، ثم أغلقها. 
5. لتحويل Steam إلى وضع الأوفلاين: من أعلى اليسار اضغط **Steam → Go Offline**. 
6. ❗ دايمًا العب بوضع الأوفلاين — يُمنع اللعب أونلاين إلا عند التفعيل فقط. 
7. استمتع باللعب بلا حدود. 
--- 
📌 معلومات إضافية مهمة 
☑️ تبديل الحسابات يتم بدون أكواد، ويمكنك الرجوع للحساب في أي وقت. 
☑️ دعم فني لمدة **3 أشهر**. 
☑️ التفعيل لا يحتاج أي برامج طرف ثالث. 
☑️ قد يتم فقدان التفعيل بعد تحديث ويندوز أو تغيير القطع؛ يُفضّل إيقاف التحديثات أثناء اللعب. 
☑️ يمكنك تحديث اللعبة متى ما احتجت. 
☑️ يجب اتباع التعليمات بدقة لتجنّب أي مشكلة. 
❗ يمنع تغيير معلومات الحساب. 
--- 
💬 واجهتك أي مشكلة؟ 
تواصل معنا وسنساعدك فوراً. ",,PC \ Steam,1,منصة ستيم:2.5
offline5,Cyberpunk 2077,Cyberpunk 2077,24,2.5,sale,https://cdn.cloudflare.steamstatic.com/steam/apps/1091500/library_600x900.jpg,ارخص العاب الاوفلاين يوفرها لكم متجر ديف,,"✅ مميزات الخدمة 
✔️ بعد الدفع تحصل على حساب Steam مخصص للّعب في وضع الأوفلاين، ويتم حفظ تقدمك على جهازك فقط. 
✔️ يمكنك تحديث اللعبة في أي وقت. 
⌛️ لا يوجد حد لوقت اللعب — العب وقت ما تريد وبالمدة التي تناسبك. 
--- 
🎮 طريقة التفعيل (مختصرة جداً) 
1. سجّل الدخول إلى حساب Steam الذي يصلك بعد الشراء. 
2. من إعدادات Steam ادخل إلى **Settings → Cloud** وقم بإيقاف أول خيار. 
3. نزّل اللعبة من المكتبة. 
4. شغّل اللعبة مرة واحدة أونلاين حتى تظهر القائمة الرئيسية، ثم أغلقها. 
5. لتحويل Steam إلى وضع الأوفلاين: من أعلى اليسار اضغط **Steam → Go Offline**. 
6. ❗ دايمًا العب بوضع الأوفلاين — يُمنع اللعب أونلاين إلا عند التفعيل فقط. 
7. استمتع باللعب بلا حدود. 
--- 
📌 معلومات إضافية مهمة 
☑️ تبديل الحسابات يتم بدون أكواد، ويمكنك الرجوع للحساب في أي وقت. 
☑️ دعم فني لمدة **3 أشهر**. 
☑️ التفعيل لا يحتاج أي برامج طرف ثالث. 
☑️ قد يتم فقدان التفعيل بعد تحديث ويندوز أو تغيير القطع؛ يُفضّل إيقاف التحديثات أثناء اللعب. 
☑️ يمكنك تحديث اللعبة متى ما احتجت. 
☑️ يجب اتباع التعليمات بدقة لتجنّب أي مشكلة. 
❗ يمنع تغيير معلومات الحساب. 
--- 
💬 واجهتك أي مشكلة؟ 
تواصل معنا وسنساعدك فوراً. ",,PC \ Steam,1,منصة ستيم:2.5
offline6,Sekiro: Shadows Die Twice - GOTY Edition,Sekiro: Shadows Die Twice - GOTY Edition,24,2.5,sale,https://cdn.cloudflare.steamstatic.com/steam/apps/814380/library_600x900.jpg,ارخص العاب الاوفلاين يوفرها لكم متجر ديف,,"✅ مميزات الخدمة 
✔️ بعد الدفع تحصل على حساب Steam مخصص للّعب في وضع الأوفلاين، ويتم حفظ تقدمك على جهازك فقط. 
✔️ يمكنك تحديث اللعبة في أي وقت. 
⌛️ لا يوجد حد لوقت اللعب — العب وقت ما تريد وبالمدة التي تناسبك. 
--- 
🎮 طريقة التفعيل (مختصرة جداً) 
1. سجّل الدخول إلى حساب Steam الذي يصلك بعد الشراء. 
2. من إعدادات Steam ادخل إلى **Settings → Cloud** وقم بإيقاف أول خيار. 
3. نزّل اللعبة من المكتبة. 
4. شغّل اللعبة مرة واحدة أونلاين حتى تظهر القائمة الرئيسية، ثم أغلقها. 
5. لتحويل Steam إلى وضع الأوفلاين: من أعلى اليسار اضغط **Steam → Go Offline**. 
6. ❗ دايمًا العب بوضع الأوفلاين — يُمنع اللعب أونلاين إلا عند التفعيل فقط. 
7. استمتع باللعب بلا حدود. 
--- 
📌 معلومات إضافية مهمة 
☑️ تبديل الحسابات يتم بدون أكواد، ويمكنك الرجوع للحساب في أي وقت. 
☑️ دعم فني لمدة **3 أشهر**. 
☑️ التفعيل لا يحتاج أي برامج طرف ثالث. 
☑️ قد يتم فقدان التفعيل بعد تحديث ويندوز أو تغيير القطع؛ يُفضّل إيقاف التحديثات أثناء اللعب. 
☑️ يمكنك تحديث اللعبة متى ما احتجت. 
☑️ يجب اتباع التعليمات بدقة لتجنّب أي مشكلة. 
❗ يمنع تغيير معلومات الحساب. 
--- 
💬 واجهتك أي مشكلة؟ 
تواصل معنا وسنساعدك فوراً. ",,PC \ Steam,1,منصة ستيم:2.5
offline7,The Witcher 3: Wild Hunt,The Witcher 3: Wild Hunt,24,2.5,sale,https://cdn.cloudflare.steamstatic.com/steam/apps/292030/library_600x900.jpg,ارخص العاب الاوفلاين يوفرها لكم متجر ديف,,"✅ مميزات الخدمة 
✔️ بعد الدفع تحصل على حساب Steam مخصص للّعب في وضع الأوفلاين، ويتم حفظ تقدمك على جهازك فقط. 
✔️ يمكنك تحديث اللعبة في أي وقت. 
⌛️ لا يوجد حد لوقت اللعب — العب وقت ما تريد وبالمدة التي تناسبك. 
--- 
🎮 طريقة التفعيل (مختصرة جداً) 
1. سجّل الدخول إلى حساب Steam الذي يصلك بعد الشراء. 
2. من إعدادات Steam ادخل إلى **Settings → Cloud** وقم بإيقاف أول خيار. 
3. نزّل اللعبة من المكتبة. 
4. شغّل اللعبة مرة واحدة أونلاين حتى تظهر القائمة الرئيسية، ثم أغلقها. 
5. لتحويل Steam إلى وضع الأوفلاين: من أعلى اليسار اضغط **Steam → Go Offline**. 
6. ❗ دايمًا العب بوضع الأوفلاين — يُمنع اللعب أونلاين إلا عند التفعيل فقط. 
7. استمتع باللعب بلا حدود. 
--- 
📌 معلومات إضافية مهمة 
☑️ تبديل الحسابات يتم بدون أكواد، ويمكنك الرجوع للحساب في أي وقت. 
☑️ دعم فني لمدة **3 أشهر**. 
☑️ التفعيل لا يحتاج أي برامج طرف ثالث. 
☑️ قد يتم فقدان التفعيل بعد تحديث ويندوز أو تغيير القطع؛ يُفضّل إيقاف التحديثات أثناء اللعب. 
☑️ يمكنك تحديث اللعبة متى ما احتجت. 
☑️ يجب اتباع التعليمات بدقة لتجنّب أي مشكلة. 
❗ يمنع تغيير معلومات الحساب. 
--- 
💬 واجهتك أي مشكلة؟ 
تواصل معنا وسنساعدك فوراً. ",,PC \ Steam,1,منصة ستيم:2.5
